Date,TSLA_QUANTITY_FAILS,close,open,low,high,volume
2021-04-05,13205,697.25,722.39,697.25,722.39,42990563
2021-04-06,4074,708.03,698.9,691.64,714.14,29375727
2021-04-07,1105,694.1,692.0,683.09,714.92,26440203
2021-04-09,13574,697.43,708.49,689.15,708.49,22507839
2021-04-14,32,766.87,783.7,750.37,783.7,49766774
2021-04-16,90567,762.61,732.01,732.01,772.03,28263256
2021-04-19,3721,732.84,751.1,694.192,751.1,40814169
2021-04-20,3100,751.93,728.19,716.04,755.84,36108776
2021-04-21,1786,781.2,712.2,706.0,781.2,31477115
2021-04-22,26611,737.13,757.7,736.09,769.89,36792417
2021-04-23,8896,738.2,723.5,723.5,762.68,29799814
2021-04-26,1182,744.3,754.0,741.5581,770.1,31552843
2021-04-27,13159,725.23,735.33,709.1607,756.0,30167048
2021-04-28,4375,699.0,711.72,699.0,723.9,22423763
2021-04-30,22784,737.53,673.3,673.3,737.53,41335012
2021-05-03,5972,697.9,731.1,697.9,731.1,28001104
2021-05-04,82017,691.0,691.28,674.568,691.28,30981181
2021-05-05,1051,678.09,688.51,677.16,688.51,22967998
2021-05-07,1007,682.58,680.3,680.3,703.0,23606573
2021-05-10,6693,630.41,686.5,630.41,686.5,32330998
2021-05-11,1042,642.9,615.75,615.75,642.9,47196635
2021-05-12,113711,606.01,608.59,598.814,635.77,34909577
2021-05-13,170465,593.62,625.952,576.59,633.1445,45446482
2021-05-14,35837,607.39,603.09,595.81,618.09,34619899
2021-05-17,23163,596.56,580.452,580.452,596.56,33036237
2021-05-21,15356,583.28,603.91,580.0,608.62,26405512
2021-05-25,58359,612.85,629.78,597.13,641.66,28432402
2021-05-26,5510,627.9,607.81,607.81,639.07,29650221
2021-05-27,2254,632.93,641.38,632.93,650.55,26649148
2021-05-28,1084,635.58,646.6,635.58,664.39,23663711
2021-06-01,6871,625.6,651.0,621.56,651.0,18919291
2021-06-02,37554,611.87,620.68,611.87,646.13,23519986
2021-06-03,18970,590.14,616.9,587.88,629.72,30406571
2021-06-04,18441,620.84,597.37,581.6,630.61,24815873
2021-06-07,45586,629.39,607.112,587.89,629.39,23144640
2021-06-08,6404,618.86,647.46,612.9,647.46,27146518
2021-06-09,6542,607.51,604.58,604.58,616.86,16683873
2021-06-10,12467,611.51,626.07,611.51,631.63,24384439
2021-06-11,371,631.58,637.23,606.13,637.23,16983484
2021-06-14,1823,623.28,640.54,619.57,640.54,21116225
2021-06-15,740198,609.06,625.59,607.98,633.71,18274768
2021-06-16,772421,616.67,623.716,604.7,623.716,22228097
2021-06-17,766542,623.1,616.5272,608.92,623.1,23280658
2021-06-18,1006,636.97,634.01,622.6,639.29,25691266
2021-06-21,100016,624.27,651.96,613.42,651.96,25563871
2021-06-22,20100,637.97,634.02,634.02,645.6,19831937
2021-06-24,80,682.0,692.9,682.0,728.91,47206880
2021-06-29,13299,682.87,716.31,682.87,717.7889,17778468
2021-06-30,9080,700.1,705.15,694.97,705.15,19032580
2021-07-01,6107,678.44,704.95,678.44,712.74,18875801
2021-07-02,5,709.9,691.12,681.56,709.9,27378861
2021-07-06,14607,676.27,682.012,676.27,686.0,23927801
2021-07-07,6114,669.84,669.86,645.79,689.8,19175369
2021-07-08,54919,656.29,642.76,622.87,672.19,23148685
2021-07-12,108,716.1,691.6,690.802,716.1,26346027
2021-07-13,1636,674.64,693.59,674.2693,693.8,21671682
2021-07-14,31,678.29,701.98,665.58,701.98,22434588
2021-07-15,848,680.4,686.99,649.49,686.99,20625735
2021-07-23,1695,662.69,658.39,656.7,670.4,14961472
2021-07-28,930,662.8,658.206,658.206,682.4138,16308768
2021-07-30,2661,703.7,684.435,684.435,706.54,29821105
2021-08-02,5000,741.73,713.0,708.4,741.73,34638341
2021-08-03,110163,738.01,743.0,733.32,751.14,22313558
2021-08-04,42176,723.68,742.0,723.68,760.9,17501915
2021-08-06,1406,710.7,731.3,710.7,740.8,15689806
2021-08-10,89,744.52,736.41,725.51,744.52,14046247
2021-08-11,1206,710.19,737.79,710.19,737.79,10092414
