Date,QSR_QUANTITY_FAILS,close,open,low,high,volume
2021-05-03,196,72.62,70.56,70.11,73.57,1433076
2021-05-04,111,72.37,71.0,71.0,73.65,677223
2021-05-05,104,69.56,72.91,69.56,72.91,1592591
2021-05-06,329,69.8,71.12,69.8,73.59,1591321
2021-05-07,603,72.21,69.48,69.48,72.82,994475
2021-05-10,50514,70.1,72.14,70.1,72.14,906922
2021-05-11,310,70.7,68.62,67.53,70.7,1066980
2021-05-12,453,68.18,71.24,68.18,71.24,1262296
2021-05-13,2251,67.1,67.98,67.09,70.3,848548
2021-05-14,69984,70.71,70.15,66.998,70.71,845014
2021-05-18,47077,70.29,68.92,68.92,70.29,1249743
2021-05-19,150,68.32,68.62,67.83,70.94,1092286
2021-05-20,212047,69.09,70.0,69.09,71.29,1214949
2021-05-21,94657,70.53,69.75,68.349,70.53,813606
2021-05-24,141867,71.45,70.69,70.69,71.45,742983
2021-05-25,224391,69.0,70.37,69.0,71.16,980658
2021-05-26,50228,70.94,69.96,69.96,70.94,900225
2021-05-27,373,71.76,70.64,70.64,71.76,1165294
2021-05-28,69459,71.66,72.3,69.44,72.3,1585258
2021-06-01,125389,71.86,72.0,71.72,72.68,1079969
2021-06-08,344,70.27,69.97,69.7,70.27,960760
2021-06-09,13376,69.22,71.25,69.22,71.25,1278591
2021-06-10,2919,69.83,70.18,67.46,70.81,2473923
2021-06-11,1808,69.9,70.96,69.9,70.96,963765
2021-06-14,492,71.35,70.95,70.28,71.52,747175
2021-06-16,17154,68.54,71.0,68.54,71.0,838069
2021-06-18,2320,67.54,69.76,67.54,70.64,1150983
2021-06-21,2799,66.8,66.92,66.8,68.78,3144869
2021-06-22,295,67.06,67.02,67.02,68.16,3201453
2021-06-23,8309,66.06,69.12,66.06,69.12,1191326
2021-06-24,27944,66.52,66.53,65.77,68.19,854473
2021-06-28,33054,66.8,68.08,66.744,68.08,2650839
2021-06-29,133,66.1,67.48,64.81,67.48,1267684
2021-06-30,17068,65.72,67.38,64.97,67.38,1047860
2021-07-01,136,65.69,65.6,65.6,67.64,787670
2021-07-02,7320,65.41,68.54,65.41,68.54,1515587
2021-07-06,3650,66.7,67.62,64.3,67.62,1245863
2021-07-07,2774,65.84,64.76,64.76,66.35,983213
2021-07-08,28,66.12,64.98,64.98,66.12,980658
2021-07-13,309,65.38,65.18,65.18,66.8,783480
2021-07-15,2868,63.87,66.8,63.87,66.8,1074890
2021-07-16,1201,63.51,66.73,63.51,66.98,775753
2021-07-20,27435,62.86,64.54,61.87,65.95,1031565
2021-07-21,638,66.12,65.97,63.63,66.12,1013831
2021-07-27,1522,66.94,68.38,65.91,68.38,1696680
2021-07-28,172,65.75,67.14,64.83,67.68,1435524
2021-08-02,1276,70.07,68.37,67.53,70.07,1486317
2021-08-03,1052,68.16,68.73,68.16,68.78,1534466
2021-08-04,12565,67.4,66.18,66.18,67.95,2151303
2021-08-05,710,66.6,64.71,64.43,66.6,5428196
2021-08-06,44956,65.67,65.02,64.253,65.67,2955233
2021-08-09,17895,63.6,65.8,63.6,65.8,2406108
2021-08-10,3484,64.96,64.0,64.0,65.83,2240093
2021-08-11,96,65.0,67.85,64.78,68.03,1491262
2021-08-12,265,67.08,66.67,66.67,67.55,1655933
2021-08-13,98,67.03,68.05,65.43,68.39,1331311
2021-08-17,81,66.59,68.0,65.89,68.0,978642
2021-08-18,259,65.0,65.05,64.22,65.39,1080975
2021-08-19,4409,63.61,64.69,63.61,66.32,1405917
2021-08-23,7055,66.58,65.08,63.79,66.58,1042196
2021-08-24,49109,66.19,66.5,65.42,66.5,1011282
2021-08-25,398,66.67,64.35,64.35,66.67,816692
2021-08-27,21829,67.03,66.67,65.63,67.55,696550
2021-08-30,377,64.51,66.41,64.51,66.71,1080761
2021-08-31,5119,66.52,63.8,63.8,67.19,955913
2021-09-02,61,67.91,66.37,65.29,67.91,1528677
2021-09-03,39191,65.28,65.23,65.23,67.68,1819976
2021-09-08,6245,65.6,65.55,65.43,65.6,958652
2021-09-10,7746,66.88,65.4,65.4,67.01,1118688
2021-09-13,14623,65.76,67.23,65.76,67.554,1152290
2021-09-14,1084,66.67,67.95,65.55,68.17,2235072
