Date,BB_QUANTITY_FAILS,close,open,low,high,volume
2021-01-11,22466,7.86,7.73,7.33,7.86,16526507
2021-01-12,39071,7.96,7.87,7.52,7.96,9853519
2021-01-13,177524,7.77,7.74,7.5,7.88,8629467
2021-01-14,56179,9.51,7.66,7.66,9.55,66324321
2021-01-15,339836,10.03,11.14,9.6,11.6,156416072
2021-01-19,202701,12.61,11.2,10.76,12.99,113003399
2021-01-20,463762,13.01,13.55,12.67,14.11,136272281
2021-01-21,267435,12.9,13.19,12.34,13.198,66485240
2021-01-22,365979,14.53,12.57,12.57,14.75,123510290
2021-01-25,680680,18.26,20.11,15.98,21.67,379201607
2021-01-26,786594,19.34,19.3,17.38,19.73,246706533
2021-01-27,991710,26.0,20.8,20.52,29.45,374191829
2021-01-28,299479,14.93,19.53,13.9,22.6,202490480
2021-01-29,431567,14.3,18.4,13.9,18.4,95416970
2021-02-02,21048,11.55,13.71,11.55,14.08,81477480
2021-02-03,37796,12.0,12.22,11.36,12.8,50386340
2021-02-04,151931,12.22,12.44,11.86,12.53,35346147
2021-02-05,159942,13.37,12.34,12.03,14.22,45809090
2021-02-08,245711,14.06,14.2,14.0,15.06,37994666
2021-02-09,17081,13.89,13.97,13.26,14.0285,24151026
2021-02-10,100,13.6,13.36,12.94,13.83,27424924
2021-02-11,37,12.46,13.35,12.414,13.35,23606175
2021-02-12,132467,13.27,12.76,12.35,13.586,18614469
2021-02-16,131901,12.74,13.63,12.26,13.63,26234940
2021-02-17,49989,11.48,12.2,11.48,12.25,26622906
2021-02-18,54024,11.28,11.26,11.04,11.77,19157718
2021-02-19,7071,11.4,11.31,10.77,11.65,21094843
2021-02-22,91531,10.73,10.76,10.59,11.65,21777179
2021-02-23,134797,10.6,10.54,10.04,10.7,28012518
2021-02-24,2870,11.57,10.3,10.3,11.95,41280086
2021-02-25,97008,10.73,12.18,10.62,12.3,47094371
2021-02-26,250235,10.4,10.86,10.4,11.3,22670129
2021-03-01,591009,11.23,10.62,10.37,11.79,25340051
2021-03-02,53441,10.9,10.9,10.8,10.95,12481791
2021-03-03,290480,10.19,10.73,10.16,10.9141,14930008
2021-03-04,268312,10.32,10.4,9.72,10.47,27184878
2021-03-05,25810,9.67,9.8,9.16,10.11,24803634
2021-03-08,14084,9.85,9.65,9.4422,10.36,17249404
2021-03-09,43087,10.63,10.49,10.38,10.7,21440581
2021-03-10,129868,10.58,11.05,10.39,11.24,24563970
2021-03-11,581657,11.2,11.06,10.5853,11.2,12526036
2021-03-12,498689,12.41,10.68,10.61,12.41,26486145
2021-03-15,103863,11.7,12.34,11.7,12.763,26459304
